Description,folio
"<al>worms</al>, that with them you will be able to furnish a <env>room",053v
"<al>black ants</al>, &amp; as soon as there are two or three molted,",053v
"de <al>bombicum</al> natura</la>.<comment rid=""c_053v_01""/>",053v
"more &amp; is all the better for it. Some <al>worms</al> make it whiter,",053v
"The <al>worms</al>, <tmp>from their birth until <add><fr>u</fr></add> the <del>their</del>",053v
"cocoon, commonly the <ms>size of a <al>pigeon</al> egg</ms>, although",054r
"three &amp; up to xi <al>worms</al> are put in a cocoon, which is hairy",054r
"prison, <del>it</del> the <al>worm</al> gnaws it at one end,",054r
"other hand, it has become a <al>butterfly</al> &amp; has wings, without, however,",054r
<head>For making a <al>horse</al> follow</head>,054v
<head><al>Dogs</al></head>,054v
<head>For disguising a <al>horse</al></head>,054v
"<ab>Warm the pipe<comment rid=""c_055r_01""/> well &amp; plug the touch-hole below, &amp; take a piece of <m><al>pork</al>fat</m>, the freshest",055r
<ab>Cut a <al>chicken</al> or a <al>dog</al> to test &amp; in the wound,055r
<ab>Cut a <al>chicken</al> or a <al>dog</al> to test &amp; in the wound,055r
"of the largest <al>snails</al> you can, with their shell, put them in a",055r
Stopper the whole well &amp; put it under <m><al>horse</al>dung</m> for,055r
the <ms><tmp>space of fifteen days</tmp></ms>. The <al>snails</al> will,055r
"<ab><al>Daot</al> ni a <tl>top</tl><comment rid=""c_055v_01""/> with",055v
<ab>Distill <m><al>earthworms</al></m> separately &amp;,055v
with the said <m>water</m>. Take <ms>as much <m><al>pigeon</al> dung</m>,056r
"as the said <m>earth</m></ms>, &amp; <ms>as much <m><al>horse</al>",056r
"<al>lambs</al> and young <al>goats</al></m>, almost like",057v
"<al>lambs</al> and young <al>goats</al></m>, almost like",057v
<al>oxen</al></m>.</ab></div>,058v
"care from <m><al>porcupine</al> quills</m>,",058v
"<m><al>squirrel</al>’s tail hair</m> is soft,",058v
"the most careful take the <m>bristles of the oldest <al>rats</al></m>,",058v
"especially of <al>dormice</al> if they can find them, &amp; put two or",058v
point. The <m>bristles of <al>beech martens</al> &amp; <al>weasels</al>,058v
point. The <m>bristles of <al>beech martens</al> &amp; <al>weasels</al>,058v
<m><al>rat</al> whiskers</m></tl>.</ab>,061v
"<ab>In the <tmp>month of May</tmp>, one puts the <m><al>cow</al>",063v
dung</m> to putrefy under <m><al>horse</al> dung</m>. Then one mixes,063v
<head>For attracting <al>pigeons</al></head>,066v
&amp; give it to the <al>pigeons</al>.</ab>,066v
"<al>squirrel</al>’s fur</m>, <ms>as much in one go as one can hold in a",066v
the same length. Put one or two <m>bristles of a <al>rat</al>’s,066v
"you, &amp; until you notice in it the <m><al>rat</al> hairs</m>",067r
"<al>petit-gris</al><comment rid=""c_067r_01""/></m> is <del>at the</del>",067r
"convenient thickness for it, of a <al>duck</al> or a <al>crow</al> for the",067r
"convenient thickness for it, of a <al>duck</al> or a <al>crow</al> for the",067r
<head><m>Bones of the foot of <al>oxen</al> for sand</m></head>,067v
<al>fishes</al> painted from nature &amp; with colors on <m>simple,068r
"<ab><m>Sand from <al>oxen</al> feet, burned twice &amp; finely ground</m>,",069v
<ab> <m><al>Human</al> bones</m> are the best for casting once,070r
<ab><m><al>Sheep</al> foot bones</m> are even better than <m>those of <al>oxen</al>,070r
<ab><m><al>Sheep</al> foot bones</m> are even better than <m>those of <al>oxen</al>,070r
"takes color boiled with <del><fr>ceru</fr></del> <m>fat of a young <al>goat kid</al></m>, for that of",071r
"a <al>goat buck</al> would make it break, principally if it is glazed.</ab>",071r
<head>Weary <al>horses</al></head>,071r
"<ab>For fortifying a harried <al>horse</al>, they make it drink some of",071r
<head><al>Sheep</al> fat</head>,071v
"<ab>In a certain region of <pl>England</pl>, the <al>sheep</al> that",071v
<head><al>Spider</al></head>,071v
&amp; <al>spider</al>webs.</ab>,071v
"<al>horse</al>shoes</m>, &amp; <m>antimony</m> which makes it all melt.",072r
Rub <m><al>cuttlefish</al> bone</m> on a <tl>well evened table</tl> to,072v
<tl><m><al>Cuttlefish</al> bone</m></tl> molds <m>lead</m> better than,072v
"a <m><al>partridge</al> feather</m>, &amp; make it burn in a<tl>",075v
polish it with a <tl><al>wolf</al>’s <del>skin</del> <add>tooth</add></tl> when it,075v
"with your <m>wood</m>, &amp; put it in some very warm <m><al>horse</al>",078r
with a <tl>tooth of a <al>wolf</al> or <al>dog</al></tl>.</ab>,078v
with a <tl>tooth of a <al>wolf</al> or <al>dog</al></tl>.</ab>,078v
<al>wolf</al> or <al>dog</al></tl>.</ab>,078v
<al>wolf</al> or <al>dog</al></tl>.</ab>,078v
<m>bronze</m> with a <tl>tooth of a <al>wolf</al> or,079r
<al>dog</al></tl>.</ab>,079r
harm you</md>. Or put <ms>half</ms> a <m><al>pig</al>’s bladder</m> in front,079v
Try <m>calcined <al>oyster</al> shells</m>. They are said to be,080v
"tracing paper</m>, &amp; if you add <m>burnt <al>horse</al>",083r
"<ab>I tried the <m>bone of <al>oxen</al> <add>feet</add>, thoroughly burned &amp;",084v
"<ab><m>Iron dross</m>, <m>well burned bone of <al>oxen</al> feet</m>,",084v
Try <m>burnt <al>oysters</al></m>.</ab>,084v
with a <tl><m>linen</m> cloth</tl> &amp; <tl>very small <m><al>hog</al> bristle</m>,085r
"<ab>Since then I have molded the <m>bone of <al>oxen</al> feet, burned,",086r
<head><m>Sand of burnt <al>ox</al> bones and rock salt</m></head>,089r
"of <al>oxen</al></m> is always so lean on its own that, without being",089r
<head>Molding with <tl><m><al>cuttlefish</al> bone</m></tl></head>,091r
"<tl><m><al>cuttlefish</al> bone</m></tl>. When you have cast, leave it",091v
<head><m>Sand from <env>river</env> <al>tellins</al> and,092v
<al>mussels</al></m></head>,092v
<ab>The long <m><al>shells</al></m> that one finds in <env>fresh,092v
break immediately. On <tl><m>iron wire</m></tl> or <tl><m><al>dog</al>,094r
"<ab>Some grips are made of <m>silk</m>, <m><al>dogfish</al>",094r
"<m><al>dog</al> skin</m>, which is quite",094r
"The scabbard is made of <m><al>calf</al> or <al>sheep</al> leather</m>,",096r
"The scabbard is made of <m><al>calf</al> or <al>sheep</al> leather</m>,",096r
"the <al>calf</al> ones are all in one piece, but not the <al>sheep</al>",096r
"the <al>calf</al> ones are all in one piece, but not the <al>sheep</al>",096r
"cover &amp; even it. From a <m>good <al>calf</al> skin</m>, viii or 9 or",096r
"a good <al>cow</al> is better than any and also costs more, except the",096r
canvas</m> or a <al>sheep</al> scabbard or a <m>parchment</m> cover. But,096r
<m>velvet</m> or <al>calf</al>. It is because one covers the <m>wood</m>,096r
in <m>velvet</m> or <al>calf</al>. A <m>waxed</m> scabbard is worth at,096r
"least xxx <ms><cn>sous</cn></ms>, a <al>cow</al> one xx",096r
"From a <m><al>sheep</al> skin</m>, v or vi.</ab>",096r
it will seem that they are <al>fleas</al> &amp; blemishes. Once well,097v
"passed very subtly, &amp; make like that of <m>mastic</m>, &amp; add in a little <m><al>dragon</al>’s blood</m> to",098r
<ab><pro>Leadsmiths</pro> say that making a <al>lizard</al> die in the,098r
<head>Small <al>dogs</al></head>,098v
"<ab>Small <al>dogs</al> who should be <al>water-dogs</al><comment rid=""c_098v_04""/> are recognized by this, that",098v
"<ab>Small <al>dogs</al> who should be <al>water-dogs</al><comment rid=""c_098v_04""/> are recognized by this, that",098v
<head><al>Birds</al></head>,098v
"see &amp; cover them with <m>down</m> or a <m><al>hare</al> skin</m>. Thus,",098v
or with <m><al>dragon</al>’s blood</m> for the most beauty. But,102v
<head><md>Against <al>dogs</al>’ mange</md></head>,103r
"<ab>The <pl>English</pl>, who caress their d<al>ogs</al> a lot for",103r
"in <m>water</m> &amp; leaving it to soak, they rub the <al>dogs</al>",103r
"<m><al>chicken</al> gut</m>, &amp; one folds it back over the end, &amp;",103v
<head><md>Against <al>dogs’</al> mange</md></head>,104v
"<al>common dogs</al>, &amp; one <ms>℥</ms> for big",104v
<head><al>Turtles</al></head>,105r
"<head margin=""left-top""><al>Nightingale</al></head>",105v
"<head margin=""left-middle""><al>Nightingale</al></head>",105v
"like those for <al>calendras</al>, doubled with <tl>green cloth</tl>,",105v
"<m><al>ants</al> with soil</m> at the bottom of the <tl>cage</tl>, to",105v
<m>chopped <al>sheep</al>’s heart</m> &amp; immediately some,105v
<m>eggs</m> &amp; <m><al>mealworms</al></m>.</ab>,105v
"broth is kept a little bit cold because of it, it engenders <al>worms</al> in it.<lb/><lb/><lb/></ab>",105v
<head>Catching <al>nightingales</al>,105v
"<al>nightingale</al>, as long as it sings, maintains a territory for",105v
something. And taking some <al>worms</al> which come from old meal or,105v
ground &amp; put in some <al>worms</al> and your <tl>device of little,105v
"see what you have done, and seeing <al>worms</al>, it will enter.</ab>",105v
<ab>The <al>snakes</al> or <al>lizards</al> you want to mold should not,106r
<ab>The <al>snakes</al> or <al>lizards</al> you want to mold should not,106r
"<ab render=""wide"">The <m>shell of <al>crabs</al> &amp; <al>crayfish</al></m> are",106v
"<ab render=""wide"">The <m>shell of <al>crabs</al> &amp; <al>crayfish</al></m> are",106v
"<ab render=""wide""><al>Rats</al> &amp; <al>birds</al> can be molded, and the feet are",106v
"<ab render=""wide""><al>Rats</al> &amp; <al>birds</al> can be molded, and the feet are",106v
"The little <al>turtles</al>, having just come out of the egg, are",106v
<head>Catching <al>lizards</al> and <al>snakes</al></head>,107r
<head>Catching <al>lizards</al> and <al>snakes</al></head>,107r
"<al>lizard</al> by whistling, approach the eyelet toward its neck,",107r
"and when its head <corr><del><fr>l</fr></del></corr> is inside, pull. <add>The <al>lizard</al> is more",107r
tedious to catch by <tl><bp>hand</bp></tl> than the <al>snake</al> &amp;,107r
"<ab><al>Snakes</al> can be caught by <tl><bp>hand</bp></tl>, provided",107r
teeth of the <al>snake</al> stay in the <tl>cloth</tl> &amp; cannot,107r
"water</env>, which <pro><al>crayfish</al> catchers</pro>",107r
<al><m>animal</m></al><lb/>,107v
"ut <al><m>lucerta</m></al>, <del>in</del> <del>af</del> <del>inting</del><comment rid=""c_107v_06""/>",107v
core be of the same material. And if the <al>snake</al> or,107v
"<tl>tools</tl> in the <bp>mouth</bp>, which are better in <m><pa>boxwood</pa></m> or <m>bone of <al>hart</al></m>.</ab>",109r
<head><al>Snakes</al> for molding</head>,109r
"bottle</tl>. And give them any live <al>frog</al> or other little live animal,",109r
"<al>frog</al>. It can swallow three or four of them, one after the",109v
can keep a <al>frog</al>,109v
<head><al>Toad</al></head>,109v
"A <al>frog</al> is not so beautiful molded because it has lively skin,",109v
<head>Killing <al>snakes</al> for molding</head>,109v
in a <tl>bottle</tl> of <m>good vinegar</m> &amp; some <m>eau-de-vie</m>. And do thus with <al>lizards</al> &amp; other similar,109v
<head><al>Snakes</al></head>,110r
"to harm, unless they are really big <al>snakes</al>. The main thing is",110r
"<al>toad</al>’s venom, which I have seen experimented. </ab>",110r
"a <al>butterfly</al> or similar thing, for this <m>oil</m> is instantly",110v
for one <ms>lb</ms>. I made plants &amp; <al>snakes</al> just like,110v
<head><al>Crab</al> and <al>crayfish</al></head>,111v
<head><al>Crab</al> and <al>crayfish</al></head>,111v
<head><al>Lizards</al></head>,111v
"The small <al>lizards</al> that one takes in the <tmp>summer</tmp>, the",111v
"size of small <al>female lizards</al>, grey on the back &amp; green on",111v
than the <al>female lizards</al> &amp; show better.,111v
"<tmp>long time</tmp>, give them live <al>frogs</al> &amp; not dead ones",112r
<al><env>Water</env> snakes</al> hardly bite.</ab>,112r
"old skin, if it sheds, or of the <m>filth</m>, or of the <al>lice</al>, like",112v
"<al>lizards</al> have, and then arrange it thus.</ab>",112v
"first time, it pushes in the skin of the <al>snake</al>, and by taking",112v
"to give to the <tl>mold</tl>, which will be for a <al>common snake</al>",113r
"thus, plant your <al>snake</al> on the slab of <m>earth</m>, &amp;",113r
when uncovering the throat of the <al>lizard</al> than with the,114r
"<al>snake</al>, for the <al>lizard</al> has large jaws &amp; large bones",114r
"<al>snake</al>, for the <al>lizard</al> has large jaws &amp; large bones",114r
"on top &amp; wipe each part, by wiping with <tl>tiny <m><al>hog</al>",114r
"before opening it, as for <al>crabs</al>.</ab>",114v
"<ab render=""wide"">If your <al>snake</al> has been without eating for a <tmp>long time</tmp>, it",115r
ends up coming out such that between the <al>snake</al> and animal there,115r
"<ab render=""wide"">If, by chance, you gave your <al>snake</al> such a curled shape",115r
"<al>snake</al>, because it is soft &amp; malleable &amp; obedient, &amp;",115r
"<tl>tempered <m>sand</m> mold</tl>, like <al>snakes</al>. For which one needs no",116r
"that for bouquets, the <m>sand</m> be not as thick as for <al>snakes</al>",116r
<head>Molding <al>snakes</al> <env>in all weather</env></head>,116v
"summer</tmp>, because with one <al>snake</al>, you can make four or",116v
"five. And others mold lengthwise a natural <al>snake</al>, without",116v
"they have <al>snakes</al> that they can twist as they like, and then",116v
"If, in twisting the <al>snake</al> from <m>wax</m>, some feature becomes",116v
"leather</m>. Others, <m>parings of the feet of <al>field mice</al></m>.",116v
"have done for the <al>snakes</al>, in the form of a <mu>mandore</mu>",117r
"your <m>wetted sand</m>, much thinner than the one for <al>snakes</al>, in the",117r
<al>snakes</al>. And when you will make <m>sand</m> especially for your,117r
"<al>bird</al> or a <al>snake</al>, one can indeed put in it some",117v
"<al>bird</al> or a <al>snake</al>, one can indeed put in it some",117v
<head><m>Blood of <al>snakes</al></m></head>,117v
<ab>If you need to cut some <al>snake</al> inside the <tl>mold</tl> to,117v
<head><al>Snails</al></head>,118r
which certain <al>small crabs</al> dwell are very beautiful for,118r
<ab>Cast with your aforesaid <m>sand</m> your animal and <al>lizard</al>,119v
"Try <m>sheets of gemstone foils</m> molded in a hollow form for <al>lizards</al>,",120r
"<head><del><fr>Il</fr></del><al>Nightingale</al> <mark>-</mark><comment rid=""c_120r_03""/></head>",120r
"<ab>One needs for the <tl>cage</tl>, made like those for <al>larks</al>",120r
some <al>ants</al>. You can carry an <env>anthill</env> with its earth,120r
"want them, should you take pleasure in feeding <al>nightingales</al>.",120r
<tl>small pointed stick</tl> some <m><al>mutton</al> heart</m> or other,120r
"<m>meat &amp; the egg</m> some <m>live <al>mealworms</al></m>, for it is",120v
<ab>When you uncover some <al>female lizards</al> entwined while biting each,122r
"<ab>One arranges <al>snakes</al> bound together in embraces of love,",122r
<head>Flower in the mouth of the <al>snake</al></head>,122r
<ab>If you want to put in the mouth of the <al>snake</al> some flower,122r
"<m>tallow</m> are mixed, the work is all the better. <al>Crayfish</al> &amp;",122v
the <m>metallic</m> mass</add> <del>like <al>snakes</al> &amp; similar,123v
will be able to repair it. The bodies of <al>butterflies</al> and,124r
<head><al>Spider</al>’s web</head>,124r
"<fr>en noyau</fr>, but one casts the <al>spider</al> and then one draws the",124r
<head>A means to make the gate for small female <al>lizards</al></head>,124v
The principal thing is that the ears of the <al>snake</al> come out,124v
<head><al>Vipers</al> and <al>snakes</al></head>,125v
<head><al>Vipers</al> and <al>snakes</al></head>,125v
"I molded a <al>viper</al>, which, for casting, is more appropriate than",125v
any other <al>snake</al> because it has scales beautiful &amp; very,125v
"incarnadine, &amp; snubbed like the <al>horned asp</al> or like",125v
"<del>a</del> the top of a <al>pig</al>'s snout, big jowls, the",125v
"a tube of flesh, made like a <al>dog</al>’s penis, from which comes its",125v
stinger. Other <al>snakes</al> have a double row of teeth.</ab>,125v
If you want <del>cut</del> <del>the</del> to mold the <al>snakes</al>,125v
<head>Molding <al>turtles</al></head>,125v
"It is a matter different from the casting of <al>snakes</al>, &amp;",125v
presence cast a <al>little lizard</al> with an <m>alloy of,128v
"<al>lizard</al> with it. Then, he put it between the live <del>of</del>",128v
"<al>lizard</al> was red, he took it out, let it cool, then reheated it",128v
<head><al>Viper color</al></head>,129r
"It is the most beautiful <al>snake</al> that can be molded, because it",129r
<m>tin</m> &amp; your <al>lizard</al> will resemble <m>silver</m>.</ab>,129r
"them &amp; withstand the <m>tempered sand</m>. The same is done with <al>flies</al>,",129r
"<al>snakes</al>, as <al>birds</al> and other things. But it is",129v
"<al>snakes</al>, as <al>birds</al> and other things. But it is",129v
<head><al>Spider</al> molded on a leaf</head>,129v
"them in <m>vinegar</m> &amp; <m><bp>urine</bp></m>, like <al>snakes</al>",129v
<m><al>fish</al> glue</m> or similar. Their true color is of,129v
"dead <al>spider</al> in the middle, &amp; pierce with a <tl>point of",129v
<m>iron or latten wire</m></tl> the middle of the <al>spider</al>’s body,129v
"small cornicles of the <al>spider</al>. Return <mark>🜊</mark><comment rid=""c_112r_02""/></ab>",129v
for the <al>spider</al> on the<lb/>,129v
the <m>sand</m> from covering the <al>spider</al> from underneath the,129v
which will be the gate of the <al>spider</al>.</add></ab>,129v
<ab>Small <del><fr>s</fr></del> <al>cats</al> are skinned and one,130r
similar fancies. Thus for <al>rats</al> &amp; all animals.</ab>,130r
"<head>For reddening live <al>crayfish</al>, which will seem",130r
<head>Molding a single <al>spider</al></head>,130r
"it has set, uncover the <al>spider</al> up to half its legs, then make the",130r
"<al>spiders</al>, like any animal hair, does not mold well if it is not",130r
<head>Molding a <al>crab</al></head>,130v
"like plants, but rather in two casts like <al>snakes</al> that release",130v
It is painted like a <al>crayfish</al>.</ab>,130v
<head><al>Stag beetle</al></head>,130v
"<ab>It is as difficult to burn as a <al>crab</al>, therefore do for it",130v
as you did for the <al>crab</al>.</ab>,130v
"<head>For teaching a <al>dog</al><del><fr>ei</fr></del><comment rid=""c_131r_01""/> well</head>",131r
"cast a <al>large lizard</al> like a natural one. In thick things,",131v
"out of it a <al>very small female lizard</al>, which molded very neatly &amp;",132v
"<head>Feet of <al>small<del><fr>s</fr></del><comment rid=""c_133r_01""/> female lizards</al> for",133r
"At the end of the nails of <al>large lizards</al>, <add>place</add>",133r
When you mold <al>small female lizards</al> and you want to uncover the part,133v
You can entwine a <al>snake</al> <del>entwined</del> with a,133v
"<al>lizard</al>, one biting the other, or a <al>snake</al> that eats a",133v
"<al>lizard</al>, one biting the other, or a <al>snake</al> that eats a",133v
"<al>frog</al> or a <al><po>wall lizard</po></al> <del><fr>s</fr></del><comment rid=""c_133v_01""/> &amp;",133v
"<al>frog</al> or a <al><po>wall lizard</po></al> <del><fr>s</fr></del><comment rid=""c_133v_01""/> &amp;",133v
"<al>wall lizard</al>, which is small, in the mouth of the",133v
"<al>snake</al>, which is raised &amp; needs to be supported in the air",133v
<del><fr>po</fr></del> because the head of the <al>snake</al> is posed,133v
"raised, put underneath the <al>wall lizard</al> <del><fr>se</fr></del><comment rid=""c_133v_02""/>",133v
"&amp; delicate parts in the middle of the <al>lizard</al>’s feet, the",134r
"<al>lizard</al>’s legs. But, if it is a <al>small wall lizard</al>,",134r
"<al>lizard</al>’s legs. But, if it is a <al>small wall lizard</al>,",134r
<del><al>spider</al></del></ab>,134v
lizards</oc></al> &amp; delicate things like this.</ab>,135r
<head><pa>Vine</pa> leaf and <al>small frog</al></head>,135r
You can cast on the leaf a <al>spider</al> or <al>frog</al> &amp;,135r
You can cast on the leaf a <al>spider</al> or <al>frog</al> &amp;,135r
<tl><m>cloth</m> soaked in <m><al>pig</al> fat</m> mixed with,136v
there without feeling strong heat</sn></ms>. Temper your <m>sand</m> thicker for flat medals &amp; solids than for <al>lizards</al> &amp; fine things.,137v
"burnt, like with <tl>molds</tl> of <al>crayfish</al>, <al>crabs</al>,",138r
"burnt, like with <tl>molds</tl> of <al>crayfish</al>, <al>crabs</al>,",138r
"<al>stag beetles</al>, portraits &amp; pieces of <m>sulfured",138r
"like <al>crayfish</al> legs or similar things. And if the <m>sand</m> is, by",138r
but not in plants &amp; <al>lizards</al> &amp; very fine things if it,138v
<ab>The alloy that I have put in use for <al>lizards</al> &amp;,139r
<al>snakes</al> is two <ms>℥</ms> of <m>fine tin</m> for one <ms>lb</ms>,139r
Note that if you want to cast them in <tl><m><al>cuttlefish</al>,139r
<tl><m><al>cuttlefish</al> bone</m></tl>. <ms>Test for this effect with,139r
"To make <al>snakes</al> with <m>wax</m>, or another thing to fix on a",139v
go without turning around in the folds of the <al>snake</al>.</ab>,140r
<head>Molding a <al>crayfish</al></head>,141r
"<ab render=""wide"">The <al>crayfish</al> is one of the most fanciful to mold, but also",141r
"a <tl>hot <m>iron</m></tl> on the <al>crayfish</al>, so that no one sees",141r
"<al>crayfish</al> has eggs, which are delicate and which",141r
"<ab margin=""left-middle""><al>Stag beetles</al>, <al>crayfish</al>",141r
"<ab margin=""left-middle""><al>Stag beetles</al>, <al>crayfish</al>",141r
&amp; <al>crabs</al> are molded in the same fashion.</ab>,141r
"<ab margin=""left-middle"">If your <al>crayfish</al> <del><fr>a",141r
"but the legs cannot. And to do it well, <al>crayfish</al> are already",141r
reserved for <al>turtles</al>.</ab>,141r
"will find the <al>crayfish</al> with <m>white bones</m>, but not in",141r
<ab>Having therefore let your <al>crayfish</al> dry a little <env>in the,141v
"lay your <al>crayfish</al> on top, the <del><fr>s</fr></del> back",141v
