Description,folio
&amp; que ton <m>vernis</m> est faict. Et pour le rendre plus,071v
aultrem<exp>ent</exp> ton <m>vernis</m> ne<lb/>,071v
"<head><comment rid=""c_073r_01""/>Pour faire <m>vernys pers</m></head>",073r
<head><m>Verny</m></head>,073v
<head>Aultre recepte pour faire <m>verny</m></head>,073v
<head>Pour faire <m>vernilhon</m></head>,074r
aurés de <m>bon vernilhon</m>.,074r
<head>Pour faire <m>verny</m></head>,074r
<head>Pour faire <m>vernys rouge</m></head>,074v
<head>Pour faire <m>vernys jaulne</m></head>,074v
"sur ce q<exp>ue</exp> vous vouldrés vernir, &amp; la laissés secher,",074v
du <m>verny</m> de l’<pro>apoticquaire</pro> concassé par cou assés,074v
d’icell<exp>e</exp> estendés v<exp>ost</exp>re <m>verny</m>.,074v
"Prenés <m>sire rouge</m>, du <m>vernilhon</m> &amp; ung petict de",075r
<m>vernys</m> de<lb/>,077r
"<ab hand=""handd"">Pour faire <m>vernys</m> excellant d’<m>eaue claire</m> duquel",077r
<head>Aultre <m>vernys</m> aprouvé</head>,077v
<m>verny</m>.</ab>,077v
<head>Aultre <m>verny</m></head>,077v
"q<exp>ue</exp> tu en vouldras faire. Pour coucher ce <m>verny</m>, fais",077v
couches sur la besogne q<exp>ue</exp> tu vouldras vernir.</ab>,077v
<head>Aultre <m>verny</m></head>,077v
tu verras de beau <m>verny</m>.</ab>,078r
<head>Aultre <m>verny</m></head>,078r
<head>Pour faire <m>verny rouge</m></head>,078r
"fais comme d’au<exp>ltr</exp>e <m>verny</m>,<lb/>",078r
"<m>verny</m>, et puys le<lb/>",078r
<head>Pour faire <m>verny</m></head>,079v
"fois, &amp; à chasque fois destrempes les avecq du <m>vernis</m>.</ab>",083r
<head><m>Vernis vert</m> pour les medailles de <m>cuivre</m></head>,085r
"c’est à dire <m>minium</m>, <m>massicot</m> &amp; <m>vernis</m>.</ab>",085r
<head><m>Vernis</m></head>,088r
"où il s’emboit incontinent, que sur le <m>boys</m>. Le <m>vernis</m>",093v
"aprés le <m>vernis</m> qui est de deulx couleurs, ou jaulne ou",096v
<head><m>Vernis jaulne</m></head>,096v
<head>Le <m>vernis noir</m></head>,097r
<head><m>Vernis de mastic</m> sec en <ms><tmp>demye<lb/>,097v
chaufant elle s’esvapore &amp; faict neantmoins le <m>vernis</m> plus,097v
&amp; fais chaufer dans une <tl>escuelle vernissée</tl> ledict,097v
"parmy, demeureront aulx <m>vernis</m>, &amp; co<exp>mm</exp>e tu",097v
pour petits ouvrages. Advise bien en vernissant de ne halener pas<lb/>,097v
<m>vernis</m>.</ab>,097v
<m>vernis</m> n’ha point de<lb/>,097v
Ce <m>vernis</m> est fort<lb/>,097v
Ce <m>vernis</m> se pose<lb/>,097v
vernissent gueres leur<lb/>,097v
On couche le <m>vernis</m><lb/>,097v
<head><m>Vernis</m> pour les luts</head>,098r
qui l’induist d’une peau luisante co<exp>mm</exp>e <m>vernis</m>. Ce,098r
<head><m>Vernis</m></head>,099v
<head><m>Vernis</m></head>,101v
"<m>vernis</m>, ilz y meslent l’<m>ambre jaulne fort pulverisé</m>.</ab>",101v
vernies. On les tient en <pl>Allemaigne</pl></ab>,125r
s’il est bien gouverné. Mays il est bon de le tremper une,140r
"<m>vernis</m> pour graver<comment rid=""c_004v_02""/></ab>",140r
"<m>dorées</m>, sert de <m>vernis</m><lb/>",151v
"sur le <m>fer</m> pour aprés y graver,<comment rid=""c_004v_02""/> pour vernir en tané des",151v
"Silz sont vernissés, ilz les fault mouler deulx ou trois foys<lb/>",159r
pour enlever le <m>vernis</m> qui se grippe au <tl>moule</tl>.,159r
vernissées ains il s’endurcist en l’<m>eau</m>. Quand il est seul,159v
"Destrempée à <m>vernis</m>, elle se meurt.</ab>",165r
